,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,H25,H26,H27,H28,H29,H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40,H41,H42,H43,H44,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,WIDTH,DEPTH,VELOCITY
Ju03,0.658,0.685,0.585,0.479,0.468,0.643,0.583,0.658,0.585,0.003,0.011,-1.216,-0.092,0.566,0.557,0.585,0.585,0.008,0.006,0.175,0.402,0.425,0.380,0.488,0.473,0.045,0.052,-0.644,-0.422,0.219,0.198,0.070,0.060,0.059,0.053,0.827,0.985,0.000,0.000,1.000,17.000,3.000,7.000,10.000,10.000,0.000,0.000,7.143,56.667,100.000,100.000,71.429,33.333,0.036,0.025,0.045,0.024,2.400,0.590,0.821
Ju04,0.365,0.349,0.289,0.267,0.259,0.335,0.302,0.349,0.289,0.002,0.002,-1.423,1.241,0.311,0.314,0.289,0.289,0.002,0.003,0.229,0.395,0.240,0.215,0.276,0.263,0.014,0.017,-0.644,-0.426,0.122,0.110,0.046,0.038,0.019,0.018,0.805,0.965,0.000,0.000,1.000,14.000,3.000,7.000,11.000,11.000,0.000,0.000,7.143,46.667,100.000,100.000,78.571,36.667,0.038,0.006,0.023,0.013,5.300,0.380,0.470
Tr01,2.079,1.647,1.476,1.593,1.953,1.734,1.572,1.647,1.593,0.097,0.008,1.161,-1.019,2.011,2.097,1.953,1.953,0.254,0.320,0.770,0.290,2.361,2.315,2.268,2.268,0.437,0.494,0.686,0.603,2.209,2.193,2.075,2.057,0.373,0.385,0.872,0.879,3.000,7.000,12.000,26.000,0.000,0.000,0.000,0.000,100.000,100.000,85.714,86.667,0.000,0.000,0.000,0.000,0.302,-0.159,-0.101,-0.004,16.500,0.900,0.015
Tr02,0.149,0.079,0.066,0.079,0.109,0.098,0.075,0.079,0.079,0.002,0.000,1.568,-1.719,0.123,0.137,0.109,0.109,0.003,0.006,1.126,0.751,0.171,0.164,0.176,0.176,0.005,0.006,-0.095,-0.061,0.111,0.107,0.071,0.067,0.006,0.006,1.055,1.150,2.000,3.000,3.000,18.000,0.000,0.000,0.000,0.000,66.667,42.857,21.429,60.000,0.000,0.000,0.000,0.000,0.041,-0.016,-0.011,0.005,2.500,0.250,0.263
Tr03,1.989,1.584,1.413,1.467,1.791,1.662,1.488,1.584,1.467,0.088,0.008,1.104,1.019,1.866,1.932,1.791,1.791,0.187,0.237,0.730,0.343,2.179,2.136,2.093,2.093,0.346,0.391,0.806,0.730,2.084,2.069,1.989,1.976,0.316,0.325,0.909,0.923,3.000,7.000,12.000,26.000,0.000,0.000,0.000,0.000,100.000,100.000,85.714,86.667,0.000,0.000,0.000,0.000,0.288,-0.124,-0.092,-0.008,10.500,0.650,0.333
Tr04,0.074,0.061,0.050,0.053,0.059,0.062,0.055,0.061,0.053,0.000,0.000,0.304,1.402,0.065,0.067,0.061,0.061,0.000,0.000,0.649,0.620,0.073,0.071,0.073,0.072,0.000,0.000,0.157,0.012,0.061,0.060,0.055,0.053,0.000,0.000,0.895,1.045,3.000,6.000,11.000,27.000,0.000,0.000,0.000,0.000,100.000,85.714,78.571,90.000,0.000,0.000,0.000,0.000,0.012,-0.002,-0.002,0.001,2.300,0.220,0.189
Tr05,1.890,2.277,2.250,1.944,1.800,2.139,2.157,2.250,2.250,0.047,0.034,-1.702,-1.691,2.106,2.290,1.944,2.250,0.119,0.263,1.224,0.934,1.975,1.942,1.872,1.841,0.272,0.293,0.881,0.909,1.862,1.852,1.796,1.769,0.266,0.269,0.952,0.996,3.000,6.000,12.000,26.000,0.000,0.000,0.000,0.000,100.000,85.714,85.714,86.667,0.000,0.000,0.000,0.000,-0.180,-0.044,0.040,0.013,12.700,0.460,0.365
Tr06,1.458,1.773,1.791,1.548,1.386,1.674,1.704,1.773,1.773,0.035,0.018,-1.714,-1.698,1.617,1.778,1.548,1.773,0.049,0.170,0.465,1.353,1.501,1.471,1.436,1.400,0.206,0.222,0.757,0.817,1.372,1.362,1.274,1.247,0.182,0.184,0.952,1.014,3.000,6.000,12.000,26.000,0.000,0.000,0.000,0.000,100.000,85.714,85.714,86.667,0.000,0.000,0.000,0.000,-0.167,-0.013,0.043,0.016,9.000,0.470,0.257
Tr07,0.738,0.900,0.936,0.814,0.701,0.858,0.883,0.900,0.900,0.011,0.004,-1.508,-1.116,0.842,0.930,0.814,0.900,0.014,0.048,0.532,1.374,0.849,0.849,0.838,0.838,0.041,0.041,0.999,0.999,0.882,0.880,0.824,0.824,0.073,0.074,1.308,1.300,3.000,7.000,13.000,25.000,0.000,0.000,0.000,0.000,100.000,100.000,92.857,83.333,0.000,0.000,0.000,0.000,-0.099,-0.014,0.003,-0.002,8.600,0.600,0.142
Tr08,0.049,0.046,0.038,0.044,0.042,0.045,0.043,0.046,0.044,0.000,0.000,-1.191,-1.262,0.047,0.045,0.046,0.044,0.000,0.000,-0.055,0.458,0.046,0.045,0.045,0.044,0.000,0.000,0.224,0.503,0.047,0.047,0.046,0.046,0.000,0.000,0.649,0.615,3.000,7.000,14.000,27.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,90.000,0.000,0.000,0.000,0.000,0.006,-0.001,0.000,0.000,2.100,0.200,0.192
